Constituency_Number,Total_Number_of_Electors,Elected_Person_Name,Total_Candidates,Total_Polling_Stations,Candidate_1_Name,Candidate_1_Votes,Candidate_2_Name,Candidate_2_Votes,Candidate_3_Name,Candidate_3_Votes,Candidate_4_Name,Candidate_4_Votes,Candidate_5_Name,Candidate_5_Votes,Candidate_6_Name,Candidate_6_Votes,Candidate_7_Name,Candidate_7_Votes,Candidate_8_Name,Candidate_8_Votes,Candidate_9_Name,Candidate_9_Votes,Candidate_10_Name,Candidate_10_Votes,Total_Valid_Votes,Total_Rejected_Votes,Total_NOTA_Votes,Grand_Total_Votes
88,302580,EDNIHS REDNUSMAYHS IABAHSA,11,331,RAWAP ADADHTANKE,56059,RAKILAHKIHC LITAP OARPATARP,59834,EDNIHS REDNUSMAYHS IABAHSA,70026,)RANRUS( LITAP OARRAWHSI NESARDNAHC,19248,ELAGNARAN OARNAYARAN RAMUKVIHS,28420,EHLOK NAWGAHB HSAHBUS,19402,EDNIHS RADNUSMAYHS IATAHSA,564,RAWAP ADAD HTANKE,392,ERAMHGAW MADUS TIDNAP,849.0,DAWLAKUHC DASARPMAR IJALAB,551.0,19690,344,232,20034
89,310610,LITAP LAHTTIV ANAHCRA,10,350,RAKNOAGTAHK LITAP LANEEM .RD,61425,RAWAP OARIJAHBMAS HSEJAR,80713,LITAP LAHTTIV ANAHCRA,127828,NAVAHC OARRAKNAHS NANAJAG,908,ETUHBIV OARIJAHBMAS VAHDAM .RD,2121,RAKROOLGED ANNAMAHCAL ITORAM,15841,RAWETOK OARRABMAGID RAHDAGNAG,249,RAKROONAM OARRAKNAHS NAWGAHB,535,RAKLEB IJOGAN OARDNUKUM,242.0,LAHCNAP RADOMAD IJAVIHS,312.0,0,734,0,734
90,312425,RAKIVGNAS ELBMAK ABIDNOK ITTURVIN,11,351,BEHASOAR HSETIJ RAKRUPATNA,61776,RAKIVGNAS ELBMAK ABIDNOK ITTURVIN,106520,)RAWAHCAD( ERAHDNAG RAKNAHS AHDARUNA,63773,OARLAHTTIV RAMUKLIHSUS RAKROOLGED,1285,RAKEGNALIN MAYHS AHDOYMIHB,5368,OARIJARIP HSAHBUS ENBAS,316,RAHDAGNAG RADNIKUM EKDUK,15557,OARMAR DNANAVIHS EVNAHD,528,)RAKILORGAS( RAKNOAGRIG UHDAM,594.0,RAKNOAGERAD TARAHB ITORAM .FORP,1464.0,196496,0,0,196496
91,307713,LITAP OARTAKNEV OARTNAMNAH RAKERGOMTEB,11,366,RAKENAHT DAWLIMAM TNAMNAH IABAYLIHA,67161,DOHTAR OARDNIVOG RAHSUT,1132,LITAP OARTAKNEV OARTNAMNAH RAKERGOMTEB,96597,DAWKIAG YAJNAS ANAPLAK,59749,ENMUD VARADAD DNIVOG,644,LITAP OARRABMAGID BEHASOAR,313,EDNAVAN UJAR LUHAR,4659,ETTIG OARRAKNAHS IABNIMKUR,1631,RAKHTEP OARNAWGAHB RAMUKYAJIV,568.0,RAKNOAGTAHK LITAP IJALAB,503.0,214846,0,0,214846
102,333282,YRAHDUOHC LALURHEN ULBAB,11,366,DNAHCKALIT NAYARAN EHCUK,68323,YRAHDUOHC LALURHEN ULBAB,135200,ERODANNIHC HTANIAS ANNA,90408,YARTATTAD HSENID ENAMDA,1026,YAJNAS EERHSAYAJ EKTAK,416,IJUDGAD RAWHSENAYND EDAN,440,LASIM MADUS ARDNELIAHS,299,TARAHK OARRAKNAHS HSITAS,4481,ILAWAG MARASAA PEEDNAS,4875.0,OARELAHB OARUBAB BEHASAKAK,133.0,157,207,0,364
107,369066,TNANA SAHUS EHTARHSAD,11,320,NAYARANVIHS PEEDARP LAWSIAJ,51360,TNANA SAHUS EHTARHSAD,84202,TAROHT BEHASALAB .RD,1123,ERAMHGAW MARAKUT UNHSIV,36390,EUQASI .OM DEEWAJ .OM,885,ANAR MIDAN,12543,HKIAHS DAMEHA BAWAN,186,EDAHTUD MARITOM DOMARP .RD,101,IWASOG RIGMATTU RIGNABAB .VDA,1126.0,NAHK NASAHLURUN NAHK LIMMAZUM,381.0,76901,165,19082,77066
111,119613,A ni t a G a n e s h V ai d y a,11,372,C h a v a n S a ti s h B h a n u d a s r a o,69378,C h a v a n S a ti s h T e j r a o,119613,B u m b P r a s h a n t B a n sil al,834,A ni t a G a n e s h V ai d y a,125034,A nil A s h o k C h a n d ali y a,3463,B a b a s a h e b A r j u n G ai k w a d,8822,A d v B h a r a t A a s a r a m F ul a r e,146,A vi n a s h Vi j a y G ai k w a d,177,Ki s h o r G o r a k h P a w a r,515.0,G o r a k h J a g a n n a t h I n g al e,143.0,192,228,0,420
120,324867,VAHDAJ NAHBARDNAHC KOHSA,11,329,ELAGNAS IJAJNUP YADU,55716,VAHDAJ OARMIHB ROHSIK,93499,IJAVIHS OARKINAM ETAKOK .VDA,591,VAHDAJ NAHBARDNAHC KOHSA,134231,EDNIHS MARAKUT DARAHS,721,DNIVOG VAHDAM DAHVA,347,RITAD HTANAWHSIV SALIAK,100,IRAWA BEHASUAHB TARAHB,373,ERIHA LAHTTIV LUHAR.RD,113.0,OARNAHD UMAD DARAHS,125.0,335,232883,0,233218
122,329389,Gaikwad Chandar Namdev,12,373,Gorakh Sahebrao Gotarane,69170,Charoskar Sunita Ramdas,6311,Narahari Sitaram Zirwal,94387,Gaikwad Chandar Namdev,131718,Gaikwad Bharat Kantilal,1269,Yogesh Uttam Bhusar,721,Kanoje Murlidhar Krushna,3639,Jagtap Dipak Ganapat,421,Nivrutti Aavji Galat,961.0,Vasant Sukar Shekhare,331.0,9278,16769,0,26047
125,483719,EROM ARDNAHC TNANA LOMA,11,374,LITAP AMRAHD RAKNID,72813,AKIHB )UAHB( RAKAHDUS RAJUGDAB,41381,EVRUS NADRANAJ TARAHB,65564,HSEHAM AMEES YARIH,788,EROM ARDNAHC TNANA LOMA,128242,UHAL HSITAS ERAWSA,7031,LITAP IJAMRAHD HTARAHSAD,429,EPOHK KOHSA IJAVIHS,1201,IRUSNAM NAMSU FIRA,77.0,ERAMHGAW UAHBIRAH UAHBAVED,156.0,101,127,0,228
159,306552,MAPURIN YAJNAS,11,286,DASARPAMAYHS ARDNEHAM AYIJONAK,41041,BARAP IJAHDUB RAKSAHB .VDA,847,UHBARP NAMAW LINUS,20248,MAPURIN YAJNAS,76115,YENHSRAV .S HSETEEJ .VDA,70057,ELAJAK UTTAD .FORP,246,IRASNA NAMLAS DAMMAHOM,199,ENASAS IJANAT ARDNEJAR,135,ELATIHC NAMXAL LINA,1195.0,DEYYAS REEP RAWNA,122.0,113,444,0,557
165,288139,VAHDAJ UAHB KOHSA,8,301,MATAS RAKSAHB TEEMA,45451,VAHDAJ UAHB KOHSA,84595,LEEN OARKILDNUP NAVAPTITAP,65205,NAHOM REDNIRUS ARORA,293,ERAKOK UBAB HSAKARP,218,RAKLAHSUK UMAR ANNABAB,218,HKIAHS NIDDUNIOM FIRA,251,MAGNAJ JARTAN HSOTNAS,1524,,,,,154636,52,0,154688
170,249577,DAWKIAG YAJNAS ATINUS,8,257,RAKAHDUS PEEDNAS EHTLUK,33153,ARDNAHCHSIRAH EEHKAR VAHDAJ,5558,HAHS GARAP,49933,DAWKIAG YAJNAS ATINUS,85132,HKIAHS DEMMAHOMLAL NIASSUH,3864,AMRAHS NATAJMAR DNANAYTIN .VDA,1590,ATPUG HTANRADEK LALNADAM,257,AMRAKAWHSIV YAJIVMAR HSOTNAS,292,,,,,148683,23,0,148706
172,269151,RAJNAS DAZA AYILA,9,262,RAHDAYDIV NIVAN AYRAHCA,34453,DAMHA DAHAF,28198,EVIDRAGNIHB MARIHSLUT ARDNEHAM .VDA,45815,KILAM ANAS,1778,RAJNAS DAZA AYILA,49140,ELBAS HTANNAGAJ BEHASALAB,923,TNAWAS APPA HSEHAM,569,URUGJAR NAMAW HSITAS,642,LAWRAGA LALUBAB HSAKARPYAJ,10456.0,,,3826,145406,0,149232
190,342148,TAGAHB HTANIRAHDNAP NAWAYTAS .VDA,11,347,RIOHB NANAJAG RAHONAM,61750,IDLAB HSEHAM,68152,TAGAHB HTANIRAHDNAP NAWAYTAS .VDA,92763,DAWKIAG ITURAM LINUS,2385,ERAMHGAW GNARUDNAP ANHSURK,575,ERTAHM .M .J MATIRP,338,ILOK TAPNAG HSEHAM,86291,TARAHG RAKAHBARP NADNUK,389,UDAK RAKUHDAM MALEEN,175.0,ERTAHM IJANAHD MATIRP,272.0,250,518,0,768
196,314885,MAKIN OARTNAVYAJ ATTADVED,11,341,IJADNOK LINUS ERODNI,56616,LITAP ESLAW YARTATTAD PILID,1431,MAKIN OARTNAVYAJ ATTADVED,104066,MARATTAD KAPID LITAP PALOHG,102766,HKUMHCNAP RAMUKJAR KAPID,1104,MAKIN OARIJAVIHS ATTADVED,1031,UDAHAM NAMXAL MAKIN,2887,EDAWAG MARAKUT ITTURVIN,208,RAKNAHS PIDNAS HGAW,272.0,LAMRAHB YAJNAS LATEEHS,413.0,215717,0,0,215717
207,608598,NAHK BOOBHEM DAJMA,11,477,ENAHVAG RADOMAD TIJA,113277,EKTAK OARVAHDDU JARLAB,144885,EGDNAL NASIK )ADAD( HSEHAM,1877,NAHK BOOBHEM DAJMA,206756,AHAHS DIHSAR DEVAJ,3044,RAWAP ITURAM NURA,228,)HTESRIVNAT( ELABOH NIDDUBDUHK,147,ENUHCNUHC UAHBIRAH DNIVOG,109,OARIJAB HSIRAH SALOD,2828.0,IHSERUQ DIHSAR EUQIFAR,170.0,360669,0,0,360669
